,Name,Real_Name,Type of Pilot,Status ,Instagram,Facebook,Youtube
60,Mattyo FPV,Yuki Matsuyama,DCL ,Contacted ,https://www.instagram.com/mattyofpv/,https://www.facebook.com/yuki.matuyama.902,https://www.youtube.com/channel/UCPe65ji_TA3pqh-PaeptLmA
61,Andreas_FPV,Andreas Klein,DCL ,Contacted ,https://www.instagram.com/sarah_fpv/,,
62,yukifpv,Yuki Hashimoto,DCL ,Already Contacted,https://www.instagram.com/yuki.fpv/,https://www.facebook.com/profile.php?id=100054601954886,https://youtube.com/channel/UCPhShOdOR-lDxw-wGYG_inA
63,Blessed FPV,Albert Rosinés Cueto,DCL ,Already Contacted,https://www.instagram.com/blessed_fpv/,,https://www.youtube.com/channel/UCkxELDd68wqXPwoJlA8OMmw
64,DAN00B,Daniel Borrega,DCL ,Not Contacted,https://www.instagram.com/_._.daniii/,,
65,Shrimpy Boy,Jayden Jackson,DCL ,Contacted ,https://www.instagram.com/Shrimpy_boyyy,https://www.facebook.com/jayden.jackson.100,
66,Seasky_FPV,Marcel Lleixá,DCL ,Contacted ,https://instagram.com/seasky_fpv?igshid=YmMyMTA2M2Y=,,https://youtube.com/@seasky_
67,NateYT,Ofek Nathan YomTov,DCL ,Not Contacted,https://www.instagram.com/ofekyot,,
68,Silvio FPV,Silvio Camejo Ramos,DCL ,Contacted ,https://www.instagram.com/silvio_fpv/,https://www.facebook.com/silvio.fpv/,https://www.youtube.com/@silviofpv
69,Squid-FPV,Stuart Francis,DCL ,Not Contacted,https://www.instagram.com/return_of_squid_fpv/,,https://www.youtube.com/@SQuiDFPV
70,HYG FPV,Han YounGi,DCL ,Already Contacted,https://www.instagram.com/hygfpv/,,
71,Drobot Racer,Ashton Gamble,DCL ,Not Contacted,https://www.instagram.com/drobotracer/,,https://www.youtube.com/@AshtonsPTW
72,Yayou,Swan Versmissen,DCL ,Contacted ,https://www.instagram.com/yayou_fpv/,https://www.facebook.com/yayoufpv.versmissen,
73,Salie1,Alexander Kholkin,DCL ,Contacted ,https://www.instagram.com/salieone/,,
74,Razbri,Kieran Tucker,DCL ,Not Contacted,https://www.instagram.com/xbladesracing/,,
75,violinFPV,Julius Jäger,DCL ,Contacted ,https://www.instagram.com/violinfpv/,https://www.facebook.com/violinfpv/,https://www.youtube.com/channel/UCelW9m0pyKr_WN7wPoh6B5A
76,Shaigne,Colin Chaigne,DCL ,Not Contacted,https://www.instagram.com/shaignefpv,https://www.facebook.com/shaigne.fpv,
77,Minjae,Minjae Kim,DCL ,Already Contacted,https://www.instagram.com/minjae_kim_08/,https://www.facebook.com/profile.php?id=100023867043658,
78,Star23467,Thomas Kund,DCL ,Contacted ,https://www.instagram.com/thomas.kund/,,https://www.youtube.com/channel/UCITHZoZEhzSWgJGvSnVbobQ
